status,file,method,users,W,alpha,variance,rows,time_slots,sats,has_time,has_load,file_mtime
used,dp_W2_users100_alpha1_load_by_time.csv,dp,100,2,1.0,11.991540160513603,782,40,153,True,True,2025-09-14 17:30:57
used,dp_W2_users150_alpha1_load_by_time.csv,dp,150,2,1.0,24.189090883252188,782,40,153,True,True,2025-09-14 18:11:11
used,dp_W2_users200_alpha1_load_by_time.csv,dp,200,2,1.0,30.62806821649135,782,40,153,True,True,2025-09-14 18:14:53
used,dp_W2_users250_alpha1_load_by_time.csv,dp,250,2,1.0,33.41994465646351,782,40,153,True,True,2025-09-14 18:36:30
used,dp_W2_users300_alpha1_load_by_time.csv,dp,300,2,1.0,47.574356060285105,782,40,153,True,True,2025-09-14 18:37:33
used,ga_W2_users100_alpha1_load_by_time.csv,ga,100,2,1.0,14.644240230814859,782,40,153,True,True,2025-09-14 16:54:19
used,ga_W2_users150_alpha1_load_by_time.csv,ga,150,2,1.0,18.08859027767012,782,40,153,True,True,2025-09-14 16:59:42
used,ga_W2_users200_alpha1_load_by_time.csv,ga,200,2,1.0,30.229639985960794,782,40,153,True,True,2025-09-14 16:26:55
used,ga_W2_users250_alpha1_load_by_time.csv,ga,250,2,1.0,31.652903818810593,782,40,153,True,True,2025-09-14 14:45:58
used,ga_W2_users300_alpha1_load_by_time.csv,ga,300,2,1.0,34.11747818009566,782,40,153,True,True,2025-09-14 15:00:02
used,greedy_W2_users100_alpha1_load_by_time.csv,greedy,100,2,1.0,14.487112065991862,782,40,153,True,True,2025-09-14 17:53:54
used,greedy_W2_users150_alpha1_load_by_time.csv,greedy,150,2,1.0,27.009318965708257,782,40,153,True,True,2025-09-14 17:56:34
used,greedy_W2_users200_alpha1_load_by_time.csv,greedy,200,2,1.0,36.23179181559355,782,40,153,True,True,2025-09-14 18:15:08
used,greedy_W2_users250_alpha1_load_by_time.csv,greedy,250,2,1.0,47.1012655625565,782,40,153,True,True,2025-09-14 18:35:30
used,greedy_W2_users300_alpha1_load_by_time.csv,greedy,300,2,1.0,55.03679074846476,782,40,153,True,True,2025-09-14 18:53:27
used,hungarian_W2_users100_alpha1_load_by_time.csv,hungarian,100,2,1.0,13.28076441191567,782,40,153,True,True,2025-09-14 17:50:52
used,hungarian_W2_users150_alpha1_load_by_time.csv,hungarian,150,2,1.0,24.39865720547764,782,40,153,True,True,2025-09-14 17:53:53
used,hungarian_W2_users200_alpha1_load_by_time.csv,hungarian,200,2,1.0,31.988371929050903,782,40,153,True,True,2025-09-14 18:11:36
used,hungarian_W2_users250_alpha1_load_by_time.csv,hungarian,250,2,1.0,42.55420289775816,782,40,153,True,True,2025-09-14 18:31:59
used,hungarian_W2_users300_alpha1_load_by_time.csv,hungarian,300,2,1.0,49.03808565921601,782,40,153,True,True,2025-09-14 18:51:54
used,mslb_W2_users100_alpha1_load_by_time.csv,mslb,100,2,1.0,11.561202351024344,782,40,153,True,True,2025-09-14 17:29:54
used,mslb_W2_users150_alpha1_load_by_time.csv,mslb,150,2,1.0,23.56510507050866,782,40,153,True,True,2025-09-14 17:26:23
used,mslb_W2_users200_alpha1_load_by_time.csv,mslb,200,2,1.0,31.38166714083627,782,40,153,True,True,2025-09-14 17:08:07
used,mslb_W2_users250_alpha1_load_by_time.csv,mslb,250,2,1.0,38.94676516197133,782,40,153,True,True,2025-09-14 15:15:35
used,mslb_W2_users300_alpha1_load_by_time.csv,mslb,300,2,1.0,50.59153504715811,782,40,153,True,True,2025-09-14 14:49:49
